,source,date,headline,content
152,Crypto Briefing,"Nov 23, 2020",cardano makes new yearly highs technicals warn potential correction,cardano 's price 50 % past four days demand skyrockets . n't miss market moving news .
153,Crypto News Flash,"Oct 20, 2020",cardano litecoin exploring cross-chain communication,"could made possible so-called 'velvet fork ' , investigations must first completed . crypto news flash already reported , cardano 's ..."
154,Hoosier Sports Report,"Nov 10, 2020",iu women ranked . 16 ap preseason poll,"25 , details final schedule still worked . cardano-hillary list . springfield , mass . — indiana redshirt junior guard nicole cardaño- ..."
155,FXStreet,"Dec 22, 2020","cryptocurrencies price prediction : ripple , dash & cardano – asian wrap 22 dec","cryptocurrencies price prediction : ripple , dash & cardano – asian wrap 22 dec. cryptos | 12/22/2020 4:21:21 gmt ..."
156,Yahoo Finance,"Nov 16, 2020",crunch bar launches new campaign introducing `` crunching '' across multiple platforms,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
157,AMBCrypto,"Dec 13, 2020",cardano initiates hard fork introduce token locking,"hard fork initiated cardano network hours ago , largely gone unnoticed , presumably due way executed ."
158,BTCMANAGER,"Oct 30, 2020",cardano releases new roadmap goguen launch ...,"popular blockchain platform cardano released roadmap upcoming network update , goguen . cardano research arm iohk made known ..."
159,Benzinga,"Nov 10, 2020","bitcoin , cardano & compound - american wrap : 11/10/2020","cardano price established robust resistance barrier $ 0.112 , upper boundary 12-hour ascending triangle . breakout ..."
160,Yahoo Finance,"Nov 12, 2020",supermicro scalable liquid-cooled supercomputing cluster deployed lawrence livermore national laboratory covid-19 research,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
161,CryptoSlate,1 month ago,pos cryptocurrencies cardano ( ) polkadot ( dot ) surge double digit percentages,"pos cryptocurrencies cardano ( ) polkadot ( dot ) surge double digit percentages . shaurya malwa · december 29 , 2020 1:01 pm utc · 2 read ."
162,CryptoSlate,"Nov 4, 2020","former consensys partner speaks leaderships cardano , ethereum , polkadot","blockchains like cardano catching , featuring lower ( read : negligible ) fees , fast transactions . fazel said regard , “ lot people ..."
163,Yahoo Finance,"Oct 9, 2020","tpg pace beneficial finance corp. completes $ 350,000,000 initial public offering",... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
164,newsbtc.com,"Dec 10, 2020","charted : cardano ( ) showing signs fresh rally , 100 sma key","cardano 's price declined heavily towards $ 0.1300 correcting higher , similar bitcoin . must clear $ 0.1500 resistance 100 sma ( h4 ) ..."
165,Crypto News Flash,"Dec 26, 2020",emurgo : cardano adoption enterprises increase rapidly 2021,cardano foundation developed metadata connector allow enterprises leverage metadata commercial uses . cardano established reputable ...
166,Investing.com,"Dec 24, 2020",cardano climbs 10 % rally investing.com,"move upwards pushed cardano 's market cap $ 4.768656b , 0.74 % total cryptocurrency market cap . highest , cardano 's market cap ..."
167,Crowdfund Insider,"Oct 5, 2020",digital asset exchange bitfinex introduces staking rewards cardano ( ),"according cardano team , led founder charles hoskinson , distributed ledger tech ( dlt ) platform offers unique approach scaling ..."
168,The Daily Hodl,"Oct 19, 2020",litecoin cardano exploring ‘ velvet fork ’ partnership – ’ crypto collaboration could work,"july , cardano creator charles hoskinson invited litecoin foundation managing director charlie lee potentially collaborate testing cross-chain ..."
169,https://bitnewstoday.com/,"Oct 30, 2020",cardano achieve full decentralization march,iohk ceo charles hoskinson recently hosted conference announced decrease `` '' decentralization parameter 0.5. current ...
170,CryptoPotato,"Oct 1, 2020","surging 33 % week , ’ next cardano ? ( price analysis )",cardano dropped $ 0.125 early september initially reach support $ 0.087 ( .5 fib ) . coin eventually penetrated beneath level moved ...
171,FXStreet,"Dec 7, 2020",cardano price prediction : verge 30 % move ahead network upgrade,cardano ( ) sits 8th position global cryptocurrency market rating . coin hit multi-month high $ 0.194 november 24 retreated ...
172,CryptoSlate,"Dec 9, 2020",cardano still heavily developed blockchain github,latest data crypto data aggregator santiment shown cardano still number blockchain average daily development github .
173,Investing.com Polska,"Dec 9, 2020",szczepionka pfizer nie dla osób podatnych ostre reakcje ...,"kurs cardano podskoczył 20 % , podczas hossy · bitcoin 10 % w górę , podczas hossy · cardano 11 % w górę , podczas hossy . logowanie/darmowa rejestracja . 0 ."
174,CryptoNinjas,"Dec 14, 2020",iohk launches unique ‘ smart-contract-free ’ solution tokens cardano,"enables assets behave similar way cardano 's currency , , meaning projects advantage cardano 's speed , security , ..."
175,AMBCrypto,1 month ago,cardano price analysis : 30 december,"like many altcoins market , cardano witnessing drop upward momentum followed period consolidation . however , ..."
176,Nairametrics,"Dec 17, 2020",cardano bazooka 10 %,cardano type blockchain permits people receive send funds . · coin cryptocurrency . · uses cardano blockchain ...
177,AMBCrypto,"Dec 9, 2020",cardano price analysis : 9 december,"illustrated 1-hour chart , cardano 's recent drop came back descending triangle formation . pattern carries bearish implications even ..."
178,Cointelegraph,"Dec 11, 2020",first defi project cardano bridges polkadot,"2021 , allows decentralized applications built network ushers integration defi projects cardano 's ecosystem . iohk ceo charles ..."
179,CryptoPotato,"Dec 2, 2020","cardano price analysis : withdraws 2020 highs 7 % weekly decline , ’ next ?","bitcoin , declined 830 sat today . ada/usd – cardano drops slightly 2020 highs . key support levels : $ 0.155 , $ 0.146 , $ 0.14 . key ..."
180,Benzinga,"Oct 1, 2020","maker , cardano & litecoin - american wrap : 10/1/2020","cardano 's range-bound bullish bias recently ; however , digital asset may ready resume recovery amid steady flow ..."
181,CryptoSlate,"Dec 19, 2020",iohk put developers charge oracles cardano,recent announcement partnership wolfram alpha put cardano 's oracles spotlight . iohk 's ambitious plan blockchain ...
182,newsbtc.com,"Oct 4, 2020",cardano defi development full swing,"cardano looking improve ethereum . ethereum , biggest provider defi services , platform every blockchain wants emulate ."
183,FXStreet,"Nov 18, 2020","cardano network activity explodes , suggesting breakout underway","iomap shows price floating key support area . since beginning october , cardano fluctuating relatively narrow band struggling make ..."
184,Yahoo Finance,"Nov 30, 2020",kb financial ( kb ) stock undervalued right ?,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
185,Coindesk,"Oct 1, 2020",etoro offer staking rewards holders tron cardano - coindesk,"trading platform announced thursday service , first offer staking cardano 's native token , go live later month . etoro ..."
186,FXStreet,"Oct 10, 2020",cardano price prediction : 100-dma level beat bulls,"bullish momentum likely persist week ahead . amid broad recovery seen across crypto markets past week , cardano ( ada/usd ) left ..."
187,Cointelegraph,"Oct 30, 2020","future elections could held cardano blockchain , says hoskinson",hoskinson acknowledged road cardano-based elections would gradual require number experiments . suggested could start ...
188,iNVEZZ,"Oct 3, 2020",cardano ( ) might become way pay shopify stores,crypto users might soon able use cardano ( ) make direct payments shopify-based stores . · new function become available app ...
189,Cointelegraph,"Dec 4, 2020",upcoming cardano hard fork introduce 'token locking ' ahead goguen,"launched 2017 charles hoskinson , cardano dubbed proponents “ ethereum killer ” scaling capacity advanced smart contract ..."
190,CryptoSlate,1 month ago,governance 2021 : future holds cardano ( ),"year taking cardano 's training wheels . looking back 2020 , projects managed evolve much cardano . ..."
191,Crypto News Flash,"Oct 9, 2020",cardano : ’ marlowe better defi ethereum ’ solidity,"cardano 's domain specific language “ marlowe ” , according iohk , better defi applications ethereum 's solidity . marlowe “ industrial scale ” ..."
192,CoinJournal,"Nov 9, 2020",cardano price recovers $ 0.10 bulls target breakout ...,cardano 's ( ) token trading around $ 0.104 us dollar crossed support barrier provided 100-day simple moving ...
193,Altcoin Buzz,"Dec 17, 2020",cardano releases update native tokens - product release & updates,cardano 's mechanism native tokenization . cardano introduced approach whereby tokens handled natively . implies logic ...
194,Crypto News Flash,"Oct 28, 2020","cardano reaches important milestone reduces parameter 0,5","block production three components iohk highlighted achieve cardano 's decentralization . parameter equal 0 , full ..."
195,Crypto News Flash,"Dec 16, 2020",cardano ’ iohk nervos form “ global utxo alliance ”,iohk nervos conduct joint research improve utxo transaction verification model cardano . partners create universal standard ...
196,AMBCrypto,"Nov 9, 2020",‘ complete privacy coin ’ ideal banks looking hold cardano [ ],"according cardano foundation exec , important use cases problems solved using cardano area financial services ..."
197,Decrypt,"Oct 10, 2020",cardano 's 12 % price surge leaves top cryptocurrencies dust,cardano 's 12 % price surge leaves top cryptocurrencies dust . cardano stormed ahead top ten cryptocurrencies market cap end-of- ...
198,The Market Periodical,"Nov 27, 2020",cardano introducing new delegation program ...,"cardano opened new world staking delegation shelley 's deployment mainnet july . tim harrison , marketing director input output ..."
199,Crowdfund Insider,1 month ago,cardano ( ) joins bitcoin ( btc ) ethereum ( eth ) integrating wolfram computational intelligence engine,claim “ greatly expands cardano 's ability offer new ways developers integrate advanced external information smart contacts. ” iohk ...
200,FXStreet,"Dec 5, 2020",cardano price analysis : upswing could potentially hit $ 2.4,cardano getting ready 37 % upswing $ 2.4 x-axis resistance broken . ada/usd confirm bullish outlook closes day 50 ...
201,Live Bitcoin News,"Oct 27, 2020","cardano ( ) price analysis : holding support , facing major hurdles",price could either rally $ 0.1055 resistance might revisit $ 0.1000 support . cardano price trading key hurdles near $ 0.1055 ...
202,Crypto Briefing,"Dec 8, 2020","staking etoro : guide earning cardano , tron","etoro offers convenient trading platform , users earn staking various cryptocurrencies like cardano tron . shutterstock cover ..."
203,CryptoSlate,"Nov 25, 2020",major announcements cardano set place year,"progress continues made cardano . according hoskinson , november continued trend hiring iohk—he said company ..."
204,Crypto Briefing,"Oct 3, 2020",stake cardano tron etoro 's trading platform,crypto investors use etoro automatically earn staking rewards . platform currently supports cardano ( ) tron ( trx ) . exchanges ...
205,ihodl.com,"Nov 5, 2020",cardano sponsor adoption haskell language,"cryptocurrency ecosystem cardano officially become first sponsors haskell foundation , independent organization dedicated ..."
206,iNVEZZ,"Nov 25, 2020",cardano ( ) litecoin ( ltc ) plan bridge projects fork,cardano litecoin planning launch velvet fork would enable interoperability . discussions topic on-going ...
207,https://bitnewstoday.com/,"Oct 12, 2020",charles hoskinson : cardano 's goguen starts,"iohk ceo charles hoskinson spoke cardano 's ongoing successes , including partnership runtime verification . part partnership , ..."
208,Crypto News Flash,"Nov 12, 2020","cardano based beefchain tested 1,600 calves wyoming","new article forum , cardano foundation presented cardano blockchain based solution , beefchain . elliot hill writes ..."
209,Brave New Coin,"Oct 6, 2020",cardano price analysis - on-chain activity slumps proof ...,"cardano ( ) smart contract platform focused peer-review scientific study , marketed “ third generation blockchain. ” coin 92 % ..."
210,Investing.com India,"Dec 21, 2020",cardano falls 10.07 % bearish trade,"largest one-day percentage loss since thursday , november 26 , 2020. move downwards pushed cardano 's market cap $ 4.623455b , ..."
211,The Cryptocurrency Analytics,"Nov 18, 2020","cardano ( ) introduces beefchain track trace solution beef market- certainly , steaks ...","cardano ( ) introduces beefchain track trace solution beef market- certainly , steaks high . november 18 , 2020 ayobami abiola ..."
212,Coinspeaker,"Oct 2, 2020",social investment platform etoro announces staking rewards cardano tron ...,social investment platform etoro announces staking rewards cardano tron holders . oct 2 2020 · 09:07 utc steve muchoki · 3 read social ...
213,Crypto News Flash,"Nov 13, 2020",cardano : iohk provides update goguen ’ progress,updates cardano 's development progress made new format every 2 weeks . introduced new version ghc- 8.10 development ...
214,FXStreet,"Dec 11, 2020",cardano price prediction : eyes 25 % downswing bearish pattern confirms,"cardano dancing extreme edge cliff , likely fall price levels $ 0.1 . buy signal could appear 4-hour chart coming sessions , ..."
215,The Daily Hodl,"Oct 1, 2020",company behind robot sophia may shift ‘ significant portion ’ platform ethereum cardano,cardano 's thoroughly formalized functional programming foundations potential provide rich flexible basis implementing advanced aspects ...
216,CryptoSlate,"Nov 16, 2020",cardano ’ goguen update brings native tokens implementation better dev tools,"cardano 's goguen update brings native tokens implementation better dev tools . priyeshu garg · november 16 , 2020 10:00 pm utc · 2 read ."
217,Crypto News Flash,1 month ago,iota co-founder considers collaboration ‘ bridge ’ cardano,"part iota 's partnership pantos vienna , erc20 migration tool developed , similar cardano . dominik schiener rule ..."
218,newsbtc.com,"Oct 29, 2020",charted : cardano ( ) primed rally 1 thing holding back,"cardano 's price holding $ 0.0950 support level recovering higher . however , must surpass $ 0.1020 $ 0.1040 start fresh rally near ..."
219,Investing.com Polska,1 month ago,pandemia pomniejszy zysk pekao 40 % w 2020-po prezesa ...,"kurs cardano podskoczył 20 % , podczas hossy · bitcoin 10 % w górę , podczas hossy · cardano 11 % w górę , podczas hossy . logowanie/darmowa rejestracja . 0 ."
220,CryptoSlate,"Dec 23, 2020",iohk ’ new kevm devnet opens cardano ethereum developers,"company restarted kevm devnet program , enables ethereum virtual machine run cardano 's k-framework . cardano gearing ..."
221,newsbtc.com,"Nov 3, 2020",new contender emerges despite wikipedia ’ begrudging listing cardano,"kazemian spoke cardano 's recent experience , listing wikipedia page , representative main issue . , online encyclopedias ..."
222,Crypto Briefing,"Oct 21, 2020",investors disbelief cardano prepares break,key takeaways · cardano remains dormant price action capped 200 50-twelve-hour moving averages . · on-chain metrics shows breaking ...
223,newsbtc.com,"Oct 30, 2020",new cardano roadmap puts march 2021 date goguen mainet rollout,"iohk fired cardano community releasing details goguen roadmap yesterday . successful rollout shelley , many look goguen ..."
224,Live Bitcoin News,"Dec 22, 2020",cardano ( ) price analysis : downsides possible unless breaks $ 0.16,price could resume decline unless clear break $ 0.1600 $ 0.1620 . cardano price back $ 0.1600 support us ...
225,The Cryptocurrency Analytics,"Dec 7, 2020",cardano ( ) steers future : path full decentralization use cases,"cardano continues strong path full decentralization iohk delivered word . december 6th , projected , iohk announced shelley 's ..."
226,CryptoSlate,"Oct 6, 2020","cardano update : iohk fired defi , mobile clients daedalus , cbdcs","nonetheless , slow steady approach championed charles hoskinson , founder , ceo iohk , cardano 's parent company , almost never fails ..."
227,The Daily Hodl,"Nov 21, 2020",xrp price explodes 30 % sudden altcoin rally cardano stellar among biggest gainers,"xrp , cardano ( ) stellar ( xlm ) shaking crypto markets leading sudden altcoin rally . last 24 hours , xrp surged 30 % . time ..."
228,Nasdaq,"Nov 18, 2020",canada stocks-tsx edges higher open energy support,"views opinions expressed herein views opinions author necessarily reflect nasdaq , inc. trending articles . cardano ..."
229,CryptoSlate,"Nov 28, 2020",crypto bull run returns 25 % cardano ( ) rally,"aforementioned , cardano 's native coin likely benefiting return certain market participants acclimated bidding certain group ..."
